MouseId,Treatment,Type_of_neuron,Number_of_cFOS
Mouse1,Cocaine,PKCd+,25
Mouse1,Cocaine,PKCd+,21
Mouse1,Cocaine,PKCd+,31
Mouse1,Cocaine,PKCd+,26
Mouse1,Cocaine,PKCd+,27
Mouse2,Cocaine,PKCd+,29
Mouse2,Cocaine,PKCd+,27
Mouse2,Cocaine,PKCd+,41
Mouse3,Cocaine,PKCd+,28
Mouse3,Cocaine,PKCd+,7
Mouse3,Cocaine,PKCd+,11
Mouse3,Cocaine,PKCd+,15
Mouse4,Vehicle,PKCd+,3
Mouse4,Vehicle,PKCd+,0
Mouse4,Vehicle,PKCd+,2
Mouse4,Vehicle,PKCd+,1
Mouse5,Vehicle,PKCd+,2
Mouse5,Vehicle,PKCd+,1
Mouse5,Vehicle,PKCd+,0
Mouse5,Vehicle,PKCd+,1
Mouse6,Cocaine,PKCd+,7
Mouse6,Cocaine,PKCd+,10
Mouse6,Cocaine,PKCd+,15
Mouse6,Cocaine,PKCd+,9
Mouse7,Vehicle,PKCd+,4
Mouse7,Vehicle,PKCd+,2
Mouse7,Vehicle,PKCd+,1
Mouse7,Vehicle,PKCd+,0
Mouse8,Cocaine,PKCd+,37
Mouse8,Cocaine,PKCd+,20
Mouse8,Cocaine,PKCd+,35
Mouse8,Cocaine,PKCd+,7
Mouse9,Vehicle,PKCd+,10
Mouse9,Vehicle,PKCd+,7
Mouse9,Vehicle,PKCd+,0
Mouse10,Vehicle,PKCd+,1
Mouse10,Vehicle,PKCd+,2
Mouse11,Vehicle,PKCd+,2
Mouse11,Vehicle,PKCd+,3
Mouse11,Vehicle,PKCd+,4
Mouse12,Cocaine,PKCd+,26
Mouse12,Cocaine,PKCd+,19
Mouse12,Cocaine,PKCd+,17
Mouse12,Cocaine,PKCd+,17
Mouse13,Vehicle,PKCd+,21
Mouse13,Vehicle,PKCd+,12
Mouse13,Vehicle,PKCd+,17
Mouse14,Vehicle,PKCd+,0
Mouse14,Vehicle,PKCd+,0
Mouse14,Vehicle,PKCd+,2
Mouse14,Vehicle,PKCd+,0
Mouse15,Cocaine,PKCd+,14
Mouse15,Cocaine,PKCd+,34
Mouse15,Cocaine,PKCd+,24
Mouse15,Cocaine,PKCd+,28
Mouse15,Cocaine,PKCd+,29
Mouse16,Vehicle,PKCd+,6
Mouse16,Vehicle,PKCd+,2
Mouse1,Cocaine,PKCd-,11
Mouse1,Cocaine,PKCd-,12
Mouse1,Cocaine,PKCd-,19
Mouse1,Cocaine,PKCd-,11
Mouse1,Cocaine,PKCd-,9
Mouse2,Cocaine,PKCd-,10
Mouse2,Cocaine,PKCd-,9
Mouse2,Cocaine,PKCd-,6
Mouse3,Cocaine,PKCd-,8
Mouse3,Cocaine,PKCd-,3
Mouse3,Cocaine,PKCd-,2
Mouse3,Cocaine,PKCd-,1
Mouse4,Vehicle,PKCd-,0
Mouse4,Vehicle,PKCd-,0
Mouse4,Vehicle,PKCd-,1
Mouse4,Vehicle,PKCd-,1
Mouse5,Vehicle,PKCd-,1
Mouse5,Vehicle,PKCd-,0
Mouse5,Vehicle,PKCd-,1
Mouse5,Vehicle,PKCd-,0
Mouse6,Cocaine,PKCd-,5
Mouse6,Cocaine,PKCd-,6
Mouse6,Cocaine,PKCd-,4
Mouse6,Cocaine,PKCd-,2
Mouse7,Vehicle,PKCd-,0
Mouse7,Vehicle,PKCd-,1
Mouse7,Vehicle,PKCd-,0
Mouse7,Vehicle,PKCd-,0
Mouse8,Cocaine,PKCd-,6
Mouse8,Cocaine,PKCd-,4
Mouse8,Cocaine,PKCd-,9
Mouse8,Cocaine,PKCd-,2
Mouse9,Vehicle,PKCd-,2
Mouse9,Vehicle,PKCd-,0
Mouse9,Vehicle,PKCd-,1
Mouse10,Vehicle,PKCd-,0
Mouse10,Vehicle,PKCd-,1
Mouse11,Vehicle,PKCd-,3
Mouse11,Vehicle,PKCd-,0
Mouse11,Vehicle,PKCd-,1
Mouse12,Cocaine,PKCd-,9
Mouse12,Cocaine,PKCd-,3
Mouse12,Cocaine,PKCd-,6
Mouse12,Cocaine,PKCd-,6
Mouse13,Vehicle,PKCd-,17
Mouse13,Vehicle,PKCd-,14
Mouse13,Vehicle,PKCd-,10
Mouse14,Vehicle,PKCd-,0
Mouse14,Vehicle,PKCd-,1
Mouse14,Vehicle,PKCd-,0
Mouse14,Vehicle,PKCd-,1
Mouse15,Cocaine,PKCd-,6
Mouse15,Cocaine,PKCd-,10
Mouse15,Cocaine,PKCd-,12
Mouse15,Cocaine,PKCd-,13
Mouse15,Cocaine,PKCd-,5
Mouse16,Vehicle,PKCd-,1
Mouse16,Vehicle,PKCd-,3
