MouseId,Group,Cohort,Day,OF_distance_cm
Mouse1,Ctrl,1,1,9320.755761
Mouse2,Ctrl,1,1,6422.39936
Mouse3,Ctrl,1,1,9012.994314
Mouse4,Ctrl,1,1,7421.836631
Mouse5,CeADrd2KO,1,1,9447.460237
Mouse6,CeADrd2KO,1,1,7082.791763
Mouse7,CeADrd2KO,1,1,7421.174442
Mouse8,CeADrd2KO,1,1,8128.704802
Mouse9,Ctrl,2,1,5927.467148
Mouse10,Ctrl,2,1,8914.325298
Mouse11,Ctrl,2,1,8586.409035
Mouse12,Ctrl,2,1,8841.265843
Mouse13,CeADrd2KO,2,1,7811.298827
Mouse14,CeADrd2KO,2,1,8514.46145
Mouse15,CeADrd2KO,2,1,8424.180759
Mouse16,CeADrd2KO,2,1,8507.31084
Mouse17,CeADrd2KO,2,1,11022.65734
Mouse1,Ctrl,1,2,6600.533002
Mouse2,Ctrl,1,2,4017.953508
Mouse3,Ctrl,1,2,6254.321732
Mouse4,Ctrl,1,2,5362.174017
Mouse5,CeADrd2KO,1,2,6325.647378
Mouse6,CeADrd2KO,1,2,3951.079441
Mouse7,CeADrd2KO,1,2,5616.798688
Mouse8,CeADrd2KO,1,2,4797.130745
Mouse9,Ctrl,2,2,3841.417152
Mouse10,Ctrl,2,2,5803.563519
Mouse11,Ctrl,2,2,6249.410946
Mouse12,Ctrl,2,2,6215.62326
Mouse13,CeADrd2KO,2,2,6960.209905
Mouse14,CeADrd2KO,2,2,5751.533894
Mouse15,CeADrd2KO,2,2,6724.084569
Mouse16,CeADrd2KO,2,2,4951.684596
Mouse17,CeADrd2KO,2,2,7242.525405
Mouse1,Ctrl,1,3,5341.81836
Mouse2,Ctrl,1,3,5052.089068
Mouse3,Ctrl,1,3,6080.40415
Mouse4,Ctrl,1,3,4342.512263
Mouse5,CeADrd2KO,1,3,3579.477705
Mouse6,CeADrd2KO,1,3,4221.931571
Mouse7,CeADrd2KO,1,3,5447.647656
Mouse8,CeADrd2KO,1,3,4570.911597
Mouse9,Ctrl,2,3,3768.289552
Mouse10,Ctrl,2,3,7797.144129
Mouse11,Ctrl,2,3,6475.256676
Mouse12,Ctrl,2,3,6756.920491
Mouse13,CeADrd2KO,2,3,6245.704234
Mouse14,CeADrd2KO,2,3,4864.242201
Mouse15,CeADrd2KO,2,3,6574.329641
Mouse16,CeADrd2KO,2,3,5050.509378
Mouse17,CeADrd2KO,2,3,5825.166221
