MouseId,Group,Cohort,OF_time_in_center_seconds,DLBT_number_of_entries,DLBT_latency_seconds,DLBT_time_in_light_seconds,EPM_proportion_entries_to_open,EPM_total_entries,EPM_percentage_time_on_open
Wild_type1,FUG-eGFP,1,68,9,13,84,0.416666667,24,13.80753138
Wild_type2,FUG-eGFP,1,101.35,12,30,105,0.238095238,21,6.976744186
Wild_type3,FUG-eGFP,1,77.1,11,21,139,0.3,20,6.204379562
Wild_type4,GAD-Cre,1,93.55,12,33,108,0.25,20,13.82113821
Wild_type5,GAD-Cre,1,75.4,12,30,115,0.25,24,8.225108225
Wild_type6,GAD-Cre,1,17,13,27,128,0.260869565,23,8.032128514
Wild_type7,FUG-eGFP,2,88.8,14,11,107,0.318181818,22,12.24489796
Wild_type8,FUG-eGFP,2,58.25,13,19,104,0.3125,16,19.17293233
Wild_type9,FUG-eGFP,2,56.15,11,16,75,0.133333333,15,4.924242424
Wild_type10,FUG-eGFP,2,79.85,12,25,114,0.333333333,18,16.66666667
Wild_type11,GAD-Cre,2,65.2,15,12,118,0.333333333,21,20.89552239
Wild_type12,GAD-Cre,2,56.3,10,38,96,0.4,25,12.90322581
Wild_type13,GAD-Cre,2,57.35,18,20,131,0.181818182,22,11.93415638
Wild_type14,GAD-Cre,2,79.25,14,11,114,0.272727273,11,8.270676692
